Date,data,cr,7wr
20190828,16920428,-0.017198989,-0.040043199
20190829,17292974,0.022017528,-0.01030893
20190830,17687264,0.022800589,0.023314111
20190831,17433138,-0.014367739,0.004001519
20190901,17239321,-0.011117735,-0.002019254
20190902,17039072,-0.011615829,-0.009851929
20190903,17135700,0.005670966,-0.004695196
20190904,17227404,0.005351634,0.018142331
20190905,17207255,-0.00116959,-0.004956869
20190906,17394174,0.010862802,-0.01657068
20190907,17469625,0.004337717,0.002092968
20190908,17412976,-0.003242714,0.010073193
20190909,17253394,-0.009164545,0.012578267
20190910,17208491,-0.00260256,0.004247915
20190911,17133736,-0.004344076,-0.005437151
20190912,17481890,0.020319795,0.015960419
20190913,17372163,-0.00627661,-0.001265424
20190914,16940497,-0.024848144,-0.030288458
20190915,17205537,0.01564535,-0.011912898
20190916,17277410,0.004177318,0.001391958
20190917,17315921,0.00222898,0.006242848
20190918,17497703,0.010497969,0.021242711
20190919,17323785,-0.009939476,-0.009043931
20190920,17849350,0.03033777,0.027468485
20190921,17861004,0.000652909,0.054337662
20190922,17722128,-0.007775375,0.030024695
20190923,17583507,-0.007821916,0.017716602
20190924,17689551,0.006030879,0.021577253
20190925,17765034,0.004267095,0.015278062
20190926,17743682,-0.001201912,0.024238179
20190927,17573513,-0.0095904,-0.015453616
20190928,17587069,0.000771388,-0.015337044
20190929,17740612,0.008730448,0.00104299
20190930,18148190,0.022974292,0.032114356
20191001,17932352,-0.011893087,0.013725673
20191002,17285760,-0.036057289,-0.026978502
20191003,16826669,-0.026558913,-0.0516811
20191004,16806458,-0.001201129,-0.043648359
20191005,17013384,0.012312291,-0.032619705
20191006,16904698,-0.006388265,-0.047118668
20191007,17247548,0.020281344,-0.049627098
20191008,17260807,0.000768747,-0.037448796
20191009,17206829,-0.0031272,-0.004566244
20191010,17472860,0.01546078,0.038402788
20191011,16988393,-0.027726829,0.010825303
20191012,17808627,0.048282024,0.0467422
20191013,17544547,-0.014828768,0.037850366
20191014,17375466,-0.009637239,0.00741659
20191015,17188360,-0.010768402,-0.004197197
20191016,17483445,0.017167723,0.016075943
20191017,17474828,-0.000492866,0.000112632
20191018,17874063,0.022846291,0.05213383
20191019,17683035,-0.010687441,-0.007052312
20191020,17558610,-0.007036405,0.00080156
20191021,18119266,0.031930546,0.042807485
20191022,17926006,-0.010665995,0.042915438
20191023,17656940,-0.015009813,0.009923388
20191024,17549547,-0.006082198,0.004275807
20191025,17753839,0.01164087,-0.006726171
20191026,17997510,0.013724975,0.017783995
20191027,18024417,0.00149504,0.026528694
20191028,17758875,-0.014732349,-0.019889934
20191029,17821141,0.003506191,-0.005849881
20191030,17495129,-0.018293554,-0.009164159
20191031,17823620,0.01877614,0.015617098
20191101,17396923,-0.023939974,-0.020103596
20191102,17239120,-0.009070742,-0.042138607
20191103,17330751,0.005315295,-0.038484795
20191104,17174491,-0.009016343,-0.032906589
20191105,17193743,0.001120965,-0.035205265
20191106,17108339,-0.004967156,-0.022108439
20191107,17398634,0.016968041,-0.023843978
20191108,17447872,0.002829992,0.002928621
20191109,17372617,-0.004313133,0.007743841
20191110,17530967,0.009114919,0.011552644
20191111,17431396,-0.005679721,0.014958522
20191112,17403740,-0.001586563,0.012213571
20191113,17495082,0.005248412,0.022605526
20191114,17675804,0.010329874,0.015930561
20191115,18139493,0.026232979,0.039639275
20191116,18092702,-0.00257951,0.041449426
20191117,17201818,-0.049239964,-0.018775291
